workId, aired, genres
"777","Feb 10, 2006 to Dec 26, 2012","Action, Military, Horror, Supernatural, Vampire, Seinen"
"22535","Oct 9, 2014 to Mar 26, 2015","Action, Sci-Fi, Horror, Psychological, Drama, Seinen"
"35677","Apr 21, 2018","Drama, Music, School"
"24687","Aug 20, 2014","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
"10162","Jul 8, 2011 to Sep 16, 2011","Josei, Slice of Life"
"5205","Aug 8, 2009","Action, Mystery, Supernatural, Romance, Thriller"
"31812","Jan 21, 2017","Action, Comedy, Historical, Demons, Supernatural, Fantasy, Shounen"
"32182","Jul 11, 2016 to Sep 27, 2016","Action, Slice of Life, Comedy, Supernatural"
"205","May 20, 2004 to Mar 19, 2005","Action, Adventure, Comedy, Historical, Samurai, Shounen"
"5941","Apr 5, 2009 to Mar 28, 2010","Comedy, Sports, Drama, Romance, School, Shounen"
"21899","Aug 26, 2012","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"17389","Jun 8, 2013 to Mar 2, 2014","Action, Military, Historical, Seinen"
"877","Apr 5, 2006 to Mar 28, 2007","Music, Slice of Life, Comedy, Drama, Romance, Shoujo"
"32","Jul 19, 1997","Sci-Fi, Dementia, Psychological, Drama, Mecha"
"16498","Apr 7, 2013 to Sep 29, 2013","Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen"
"392","Oct 10, 1992 to Jan 7, 1995","Action, Comedy, Demons, Supernatural, Martial Arts, Shounen"
"2251","Jul 27, 2007 to Nov 2, 2007","Action, Mystery, Comedy, Historical, Supernatural"
"28805","Jul 11, 2015","Adventure, Supernatural"
"10030","Oct 1, 2011 to Mar 24, 2012","Comedy, Drama, Romance, Shounen"
"14397","Jan 12, 2013 to Jun 29, 2013","Drama, Game, Josei, School, Slice of Life, Sports"
"32366","Aug 4, 2016 to Nov 4, 2016","Comedy, Parody"
"35557","Oct 7, 2017 to Dec 23, 2017","Action, Drama, Fantasy, Mystery, Seinen"
"136","Oct 16, 1999 to Mar 31, 2001","Action, Adventure, Super Power, Fantasy, Shounen"
"16894","Oct 6, 2013 to Mar 30, 2014","Comedy, Sports, School, Shounen"
"36275","Sep 27, 2017 to Oct 25, 2017","Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
"22789","Jul 6, 2014 to Sep 28, 2014","Comedy, Slice of Life"
