"workId","engName","synonymsName","jpName","episodes","genres"
"13223",\N,"Shin Bible Black - Kanzenban - Restored: Rinne, Bible Black: New Testament Complete Version - Restored: Samsara","新バイブルブラック 完全版 「Restored ～輪廻～」","1","Hentai"
"10851",\N,\N,"euphoria","6","Hentai"
"34168",\N,\N,"働くオトナの恋愛事情 THE ANIMATION","1","Hentai"
"36033",\N,\N,"かぎろひ~勺景~ Another",\N,"Hentai"
"32267",\N,\N,"コワレモノ:璃沙 THE ANIMATION","1","Hentai"
"36689",\N,\N,"巨乳ドスケベ学園","2","Hentai"
"1360","Jiburiru: The Devil Angel","Hell Angel Gabriel, Makai Tenshi Jibril","魔界天使ジブリール","4","Hentai"
"21059",\N,\N,"おっぱインフィニティ∞! THE ANIMATION","1","Hentai"
"5455",\N,"Saiminjutsu 2","催眠術 THE ANIMATION 2nd","2","Hentai"
"2276",\N,"Midnight Sleazy Train 2, Chikan Rail, New Midnight Sleazy Train, Midnight Sleazy Train Track 2","新・最終痴漢電車","3","Hentai"
"4278",\N,\N,"思春期少女","2","Hentai, School"
"3058",\N,"Darling Page","ダーリン","3","Hentai, Comedy"
"9545",\N,\N,"エルフ姫ニィーナ","3","Fantasy, Hentai, Supernatural"
"34959",\N,\N,"学園侵触 XX of the DEAD","2","Hentai"
"2394","The Night When Evil Falls",\N,"魔が堕ちる夜","3","Hentai"
"23719",\N,\N,"恋乳ているず THE ANIMATION","1","Hentai"
"2275","Midnight Sleazy Train","Saisyu Tikan Densya, The Last Molestor Train","最終痴漢電車","3","Hentai"
"34399",\N,\N,"対魔忍アサギ3","2","Hentai, Demons, Supernatural"
"1403","Wife Eater",\N,"妻みぐい","2","Hentai"
"9721",\N,\N,"愛妻日記","1","Hentai"
"2896","After Class Lesson",\N,"放課後 ～濡れた制服～","3","Hentai"
"6986",\N,\N,"感染 淫欲の連鎖","2","Hentai"
"32997",\N,\N,"LO Re：パコ すくすくみずきちゃん THE ANIMATION","1","Hentai"
"20757",\N,\N,"対魔忍ユキカゼ","3","Demons, Hentai, Supernatural"
"13325",\N,\N,"クリムゾンガールズ～痴漢支配～","3","Hentai"
"2955","Foxy Nudes","Hana no Joshi Ana: Newscaster Etsuko","花の女子アナ ニュースキャスター・悦子","2","Hentai"
"10792",\N,\N,"孕ませて青龍君!","2","Comedy, Harem, Hentai"
